Card_Name,Card_ID,Grocery,Gas,Dining,Entertainment,Travel,Utilities,Cell Phone Carrier,Gym/Fitness,Online Shopping,Amazon,Home Improvement,Internet/Cable/Streaming,Sporting_Good_Stores,Apple Store,Foreign_Transactions,Rideshare,Other
U.S. Bank Cash+™ Visa Signature® Card,1,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0,0,-0.03,0.05,0
Costco Anywhere Visa Card,2,0,0.04,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
Blue Cash Preferred American Express Card,3,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,0.03,0
Blue Cash Everyday American Express Card,4,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
Bank of America® Cash Rewards credit card,5,0,0.03,0.03,0,0,0,0,0,0.03,0,0.03,0,0,0,-0.03,0,0
Amazon Prime Rewards Visa Signature Card,6,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
Citi Double Cash Card,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.03,0.02,0.02
Capital One SavorOne,8,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Alliant Cashback Visa,9,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0.025,0.025
Discover IT,10,0.05,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
Ducks Unlimited,11,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,-0.03,0.015,0.015
PNC Cash Rewards Visa,12,0.02,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
Goldman Sachs Apple Card,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
Sams's Club Credit Card,14,0,0.05,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
PayPal Cashback Mastercard,15,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02
Fidelity Rewards Visa Signature Card,16,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.01,0.02,0.02
Capital One Savor,18,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
